Title,Date,Comment,Platform,IGDBID
Giga Wing,,,MAME,9162
Giga Wing 2,,,MAME,9163
Metal Slug: Super Vehicle-001,,,MAME,1404
Metal Slug 2: Super Vehicle-001/II,,,MAME,1407
Metal Slug 3,,,MAME,1408
Metal Slug 4,,,MAME,1409
Metal Slug 5,,,MAME,1410
Armored Warriors,,,MAME,13688
Mario & Luigi: Dream Team,,,3DS,3365
Pokemon Y,,,3DS,2287
The Legend of Zelda: Ocarina of Time 3D,,,3DS,1039
The Legend of Zelda: A Link Between Worlds,,,3DS,2909
Phoenix Wright: Ace Attorney - Dual Destinies,,,3DS,1432
Phoenix Wright: Ace Attorney - Trials and Tribulations,,,3DS,221287
The Legend of Zelda: Majora's Mask 3D,2017-04,100%,3DS,8593
Pokemon Moon,2017-12-28,,3DS,18099
Metroid: Samus Returns,2019-02-15,,3DS,37140
Luigi's Mansion 3DS,2019-06-23,,3DS,90109
Luigi's Mansion 2,2019-07-16,"All Gems & Boos, Silver+",3DS,2476
Metroid Zero Mission,,,GBA,1107
Metroid Fusion,,,GBA,1104
The Legend of Zelda: Minish Cap,,,GBA,1035
Wario Ware Inc,,,GBA,1703
"Star Wars Rogue Squadron II: Rogue Leader",,,GC,4181
Medal of Honor: Frontline,,,GC,1309
Spider-Man: The Movie,,,GC,19114
XIII,,,GC,1987
Star Fox Adventures,,,GC,2686
Need For Speed Underground,,100%,GC,96
Soul Calibur 2,,,GC,227987
Splinter Cell: Pandora Tomorrow,,,GC,874
Super Monkey Ball,,Expert,GC,2927
Super Mario Sunshine,,,GC,1075
Super Smash Bros. Melee,,,GC,1627
Resident Evil 4,,Hard,GC,20065
The Legend of Zelda: Wind Waker,,,GC,1033
The Legend of Zelda: Twilight Princess,,,GC,1036
Metroid Prime,,,GC,1105
Metroid Prime 2: Echoes,,,GC,1108
Paper Mario 2: The Thousand-Year Door,,,GC,3349
New Play Control! Pikmin,,,Wii,84696
Pikmin 2,,,GC,2240
Metal Gear Solid: The Twin Snakes,,,GC,4006
Monument Valley,2019-03-11,Main + DLCs,iOS,8900
Monument Valley II,2019-03-17,,iOS,36749
Inside,2019-12-23,,iOS,7342
Samorost 3,2019-12-29,,iOS,15537
Super Mario 64,,,N64,1074
Wave Race 64,,,N64,3629
Bomberman 64,,,N64,3451
Pokemon Stadium,,,N64,2289
Mission: Impossible,,,N64,3123
The Legend of Zelda: Ocarina of Time,,,N64,1029
The Legend of Zelda: Majora's Mask,,,N64,1030
Super Smash Bros.,,,N64,1626
GoldenEye 007,,,N64,1638
Star Wars: Shadows of the Empire,,,N64,164
Blast Corps,,100%,N64,3424
Banjo Kazooie,,100%,N64,2148
Donkey Kong 64,,100%,N64,1096
Yoshi's Story,,100%,N64,3213
Body Harvest,,,N64,3426
Mystical Ninja Starring Goemon,,100%,N64,143439
Goemon's Great Adventure,,100%,N64,3508
